time,id,pos,sugar,age,vision,metabolism,sex,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_reproduce,schwartz_values
0,30,"(17, 36)",19.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.93f0, stimulation = -0.16f0, hedonism = 0.8f0, achievement = -0.75f0, power = -1.08f0, security = -0.46f0, conformity = 0.14f0, tradition = 0.42f0, benevolence = 0.44f0, universalism = -0.28f0)"
0,31,"(19, 39)",20.0,0,5,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.84f0, stimulation = -2.47f0, hedonism = -0.93f0, achievement = 0.49f0, power = -0.38f0, security = 2.56f0, conformity = -0.94f0, tradition = 0.82f0, benevolence = -0.24f0, universalism = 0.26f0)"
0,32,"(25, 41)",16.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.67f0, stimulation = -1.31f0, hedonism = 1.34f0, achievement = 0.49f0, power = -1.95f0, security = 1.57f0, conformity = -1.19f0, tradition = -1.17f0, benevolence = 1.22f0, universalism = 0.34f0)"
0,33,"(26, 2)",7.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.17f0, stimulation = -2.41f0, hedonism = -1.51f0, achievement = -0.97f0, power = -1.18f0, security = 1.8f0, conformity = 0.58f0, tradition = 0.73f0, benevolence = 1.51f0, universalism = 1.28f0)"
0,34,"(5, 33)",24.0,0,1,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.3f0, stimulation = -1.63f0, hedonism = -2.32f0, achievement = 0.47f0, power = 0.5f0, security = 1.58f0, conformity = -0.54f0, tradition = 1.37f0, benevolence = 0.02f0, universalism = 0.84f0)"
0,35,"(31, 50)",13.0,0,4,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.54f0, stimulation = -0.69f0, hedonism = -1.63f0, achievement = -0.54f0, power = -0.94f0, security = 0.3f0, conformity = 1.5f0, tradition = 0.84f0, benevolence = 1.17f0, universalism = 0.55f0)"
0,36,"(43, 42)",6.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -1.09f0, stimulation = -3.4f0, hedonism = -2.6f0, achievement = 0.61f0, power = -1.28f0, security = 2.46f0, conformity = 2.24f0, tradition = 1.83f0, benevolence = 1.14f0, universalism = 0.08f0)"
0,37,"(24, 8)",5.0,0,6,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.13f0, stimulation = -2.02f0, hedonism = 0.22f0, achievement = -0.68f0, power = 1.2f0, security = 0.27f0, conformity = 0.33f0, tradition = 1.17f0, benevolence = -0.34f0, universalism = -0.01f0)"
0,38,"(38, 17)",17.0,0,2,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 1.19f0, stimulation = 0.15f0, hedonism = -0.23f0, achievement = -0.35f0, power = -3.4f0, security = 0.13f0, conformity = -1.54f0, tradition = 0.89f0, benevolence = 1.25f0, universalism = 1.9f0)"
0,39,"(9, 24)",15.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.21f0, stimulation = -2.01f0, hedonism = -0.7f0, achievement = -1.8f0, power = -0.65f0, security = 2.19f0, conformity = 0.43f0, tradition = 0.33f0, benevolence = 1.79f0, universalism = 0.63f0)"
0,40,"(19, 35)",21.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.29f0, stimulation = -0.17f0, hedonism = -0.44f0, achievement = 0.68f0, power = -0.42f0, security = -0.33f0, conformity = -0.1f0, tradition = -0.74f0, benevolence = 0.72f0, universalism = 0.51f0)"
0,41,"(2, 18)",6.0,0,1,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = -0.43f0, stimulation = -0.4f0, hedonism = -0.0f0, achievement = 0.89f0, power = -1.42f0, security = 0.97f0, conformity = -1.13f0, tradition = -1.18f0, benevolence = 1.27f0, universalism = 1.43f0)"
0,42,"(23, 13)",16.0,0,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.7f0, stimulation = -0.36f0, hedonism = -0.05f0, achievement = -0.97f0, power = -1.15f0, security = -0.41f0, conformity = 0.22f0, tradition = 0.59f0, benevolence = 1.11f0, universalism = 0.31f0)"
0,43,"(48, 9)",10.0,0,3,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.73f0, stimulation = 0.68f0, hedonism = 0.87f0, achievement = -1.86f0, power = -1.47f0, security = 0.25f0, conformity = -1.12f0, tradition = -1.23f0, benevolence = 1.88f0, universalism = 1.26f0)"
0,44,"(10, 1)",18.0,0,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.48f0, stimulation = -0.12f0, hedonism = 1.17f0, achievement = 2.03f0, power = 1.01f0, security = 0.19f0, conformity = -2.35f0, tradition = -1.46f0, benevolence = -0.16f0, universalism = -0.79f0)"
0,45,"(44, 32)",14.0,0,6,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.18f0, stimulation = 0.51f0, hedonism = 0.62f0, achievement = -1.1f0, power = -1.97f0, security = -0.09f0, conformity = 0.1f0, tradition = -0.58f0, benevolence = 1.48f0, universalism = 0.84f0)"
0,46,"(23, 40)",21.0,0,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.13f0, stimulation = -0.51f0, hedonism = 0.47f0, achievement = 2.03f0, power = 0.38f0, security = -0.03f0, conformity = -1.03f0, tradition = -0.64f0, benevolence = 0.13f0, universalism = -0.93f0)"
0,47,"(5, 12)",11.0,0,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.74f0, stimulation = -0.4f0, hedonism = -0.66f0, achievement = -0.77f0, power = -1.91f0, security = 0.26f0, conformity = -0.11f0, tradition = -0.1f0, benevolence = 1.88f0, universalism = 1.07f0)"
0,48,"(44, 33)",18.0,0,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.24f0, stimulation = -1.37f0, hedonism = 1.81f0, achievement = -0.91f0, power = -2.8f0, security = 0.37f0, conformity = -0.29f0, tradition = -0.24f0, benevolence = 1.61f0, universalism = 1.58f0)"
0,49,"(6, 24)",13.0,0,1,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 1.26f0, stimulation = 1.15f0, hedonism = 0.67f0, achievement = -1.21f0, power = -1.32f0, security = 0.16f0, conformity = -0.97f0, tradition = -1.29f0, benevolence = 0.74f0, universalism = 0.82f0)"
0,50,"(14, 21)",25.0,0,5,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],false,false,"(self_direction = 0.79f0, stimulation = -1.36f0, hedonism = -0.28f0, achievement = -0.94f0, power = -1.65f0, security = 2.1f0, conformity = 0.49f0, tradition = -0.43f0, benevolence = 0.65f0, universalism = 0.63f0)"
1,1,"(2, 21)",7.0,1,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.22f0, stimulation = 0.16f0, hedonism = -1.78f0, achievement = -0.25f0, power = -1.73f0, security = 0.54f0, conformity = 1.39f0, tradition = 0.6f0, benevolence = 0.51f0, universalism = 0.79f0)"
1,2,"(11, 46)",8.0,1,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.76f0, stimulation = 0.32f0, hedonism = -0.13f0, achievement = 0.07f0, power = -2.08f0, security = -0.15f0, conformity = -1.87f0, tradition = 0.3f0, benevolence = 0.3f0, universalism = 1.48f0)"
1,3,"(30, 6)",13.0,1,1,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.83f0, stimulation = 0.49f0, hedonism = 0.63f0, achievement = -0.08f0, power = -1.39f0, security = -0.83f0, conformity = -0.1f0, tradition = -1.03f0, benevolence = 0.84f0, universalism = 0.64f0)"
1,4,"(9, 13)",14.0,1,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.22f0, stimulation = -0.11f0, hedonism = -1.35f0, achievement = -0.33f0, power = -2.19f0, security = 1.61f0, conformity = -0.85f0, tradition = -0.23f0, benevolence = 0.69f0, universalism = 1.55f0)"
1,5,"(3, 34)",22.0,1,6,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.03f0, stimulation = -1.99f0, hedonism = 0.04f0, achievement = 0.46f0, power = -1.32f0, security = 0.53f0, conformity = 0.71f0, tradition = -0.3f0, benevolence = 0.51f0, universalism = 0.32f0)"
1,6,"(24, 28)",10.0,1,3,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.22f0, stimulation = -2.05f0, hedonism = -0.04f0, achievement = -0.5f0, power = -1.34f0, security = 2.39f0, conformity = -1.1f0, tradition = -0.31f0, benevolence = 0.66f0, universalism = 1.07f0)"
1,7,"(9, 40)",10.0,1,1,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.01f0, stimulation = 0.35f0, hedonism = 0.23f0, achievement = -0.31f0, power = 0.38f0, security = -1.15f0, conformity = -1.17f0, tradition = -0.07f0, benevolence = 1.0f0, universalism = 0.74f0)"
1,8,"(33, 21)",14.0,1,4,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.23f0, stimulation = -0.12f0, hedonism = 2.02f0, achievement = -0.17f0, power = -0.64f0, security = -1.02f0, conformity = -2.35f0, tradition = 0.04f0, benevolence = 1.13f0, universalism = 1.35f0)"
1,10,"(39, 45)",13.0,1,6,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.09f0, stimulation = -1.97f0, hedonism = -0.98f0, achievement = -1.07f0, power = -0.98f0, security = 0.69f0, conformity = 1.15f0, tradition = 2.17f0, benevolence = 0.71f0, universalism = 0.37f0)"
1,11,"(35, 3)",9.0,1,2,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.43f0, stimulation = -0.17f0, hedonism = -0.05f0, achievement = -1.02f0, power = -0.11f0, security = 0.65f0, conformity = 0.86f0, tradition = -0.49f0, benevolence = -0.51f0, universalism = 0.41f0)"
1,12,"(24, 9)",8.0,1,6,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.55f0, stimulation = -0.06f0, hedonism = 0.2f0, achievement = 0.51f0, power = -0.72f0, security = -0.02f0, conformity = -0.18f0, tradition = -0.17f0, benevolence = 0.28f0, universalism = 0.71f0)"
1,13,"(17, 29)",12.0,1,6,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.47f0, stimulation = -1.03f0, hedonism = 0.51f0, achievement = -0.21f0, power = -0.23f0, security = 1.18f0, conformity = 0.33f0, tradition = -1.94f0, benevolence = -0.33f0, universalism = 0.25f0)"
1,14,"(13, 40)",12.0,1,2,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.0f0, stimulation = -0.55f0, hedonism = -1.32f0, achievement = -0.95f0, power = -0.62f0, security = 0.87f0, conformity = -0.48f0, tradition = -0.38f0, benevolence = 1.07f0, universalism = 1.35f0)"
1,15,"(27, 18)",6.0,1,4,2,female,Int64[],false,0.0,Int64[],Int64[],[28],false,false,"(self_direction = 0.99f0, stimulation = -0.67f0, hedonism = 1.14f0, achievement = 0.49f0, power = -0.64f0, security = 0.19f0, conformity = -1.81f0, tradition = -0.66f0, benevolence = 0.86f0, universalism = 0.12f0)"
1,16,"(38, 38)",8.0,1,6,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.72f0, stimulation = -0.02f0, hedonism = 0.72f0, achievement = 1.5f0, power = -0.01f0, security = 0.37f0, conformity = -0.54f0, tradition = -0.51f0, benevolence = -0.92f0, universalism = -1.3f0)"
1,17,"(13, 44)",23.0,1,1,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.81f0, stimulation = -0.61f0, hedonism = 1.99f0, achievement = -1.0f0, power = -0.82f0, security = 0.11f0, conformity = -0.45f0, tradition = -0.52f0, benevolence = 0.62f0, universalism = -0.12f0)"
1,18,"(50, 21)",7.0,1,5,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.84f0, stimulation = -2.22f0, hedonism = -0.64f0, achievement = -0.97f0, power = -2.52f0, security = 2.04f0, conformity = 0.5f0, tradition = -0.23f0, benevolence = 2.18f0, universalism = 1.02f0)"
1,19,"(48, 27)",20.0,1,4,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 2.21f0, stimulation = -0.2f0, hedonism = 0.15f0, achievement = -0.51f0, power = -1.57f0, security = 1.05f0, conformity = -1.91f0, tradition = -1.29f0, benevolence = 0.83f0, universalism = 1.24f0)"
1,20,"(13, 9)",13.0,1,4,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.08f0, stimulation = -0.98f0, hedonism = 0.7f0, achievement = -1.45f0, power = -2.73f0, security = -0.01f0, conformity = -0.47f0, tradition = 0.42f0, benevolence = 1.96f0, universalism = 1.48f0)"
1,21,"(6, 20)",23.0,1,4,1,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.79f0, stimulation = -0.47f0, hedonism = -1.64f0, achievement = -0.44f0, power = -1.17f0, security = 1.33f0, conformity = 0.18f0, tradition = 1.03f0, benevolence = 1.47f0, universalism = 0.51f0)"
1,22,"(20, 18)",22.0,1,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.47f0, stimulation = 0.05f0, hedonism = 0.36f0, achievement = -1.19f0, power = -2.48f0, security = 1.05f0, conformity = -2.07f0, tradition = -0.64f0, benevolence = 1.66f0, universalism = 1.78f0)"
1,23,"(31, 4)",25.0,1,2,1,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.33f0, stimulation = -0.86f0, hedonism = 0.79f0, achievement = 0.38f0, power = -1.86f0, security = -0.13f0, conformity = 0.42f0, tradition = -1.25f0, benevolence = 0.7f0, universalism = 0.48f0)"
1,24,"(12, 46)",15.0,1,6,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.8f0, stimulation = -2.54f0, hedonism = -2.8f0, achievement = 0.22f0, power = -0.52f0, security = 1.73f0, conformity = -0.19f0, tradition = 0.44f0, benevolence = 1.31f0, universalism = 1.53f0)"
1,25,"(10, 9)",15.0,1,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 1.33f0, stimulation = 0.87f0, hedonism = -0.43f0, achievement = -0.43f0, power = -0.33f0, security = 0.21f0, conformity = -0.36f0, tradition = -0.59f0, benevolence = 0.07f0, universalism = -0.35f0)"
1,26,"(44, 17)",18.0,1,2,3,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.51f0, stimulation = 1.63f0, hedonism = 0.17f0, achievement = 1.09f0, power = 0.74f0, security = -0.38f0, conformity = -1.73f0, tradition = 0.35f0, benevolence = -0.46f0, universalism = -0.9f0)"
1,27,"(37, 1)",24.0,1,1,3,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.28f0, stimulation = -0.1f0, hedonism = 0.65f0, achievement = -0.84f0, power = -1.03f0, security = 1.07f0, conformity = -1.58f0, tradition = 0.22f0, benevolence = 0.95f0, universalism = 0.37f0)"
1,29,"(42, 15)",12.0,1,5,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.0f0, stimulation = -2.85f0, hedonism = -1.2f0, achievement = -1.55f0, power = -1.6f0, security = 0.24f0, conformity = 2.02f0, tradition = 1.76f0, benevolence = 1.72f0, universalism = 1.45f0)"
1,31,"(18, 39)",22.0,1,5,2,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.84f0, stimulation = -2.47f0, hedonism = -0.93f0, achievement = 0.49f0, power = -0.38f0, security = 2.56f0, conformity = -0.94f0, tradition = 0.82f0, benevolence = -0.24f0, universalism = 0.26f0)"
1,32,"(25, 41)",14.0,1,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.67f0, stimulation = -1.31f0, hedonism = 1.34f0, achievement = 0.49f0, power = -1.95f0, security = 1.57f0, conformity = -1.19f0, tradition = -1.17f0, benevolence = 1.22f0, universalism = 0.34f0)"
1,33,"(27, 2)",5.0,1,2,4,female,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = 0.17f0, stimulation = -2.41f0, hedonism = -1.51f0, achievement = -0.97f0, power = -1.18f0, security = 1.8f0, conformity = 0.58f0, tradition = 0.73f0, benevolence = 1.51f0, universalism = 1.28f0)"
1,34,"(6, 33)",22.0,1,1,4,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.3f0, stimulation = -1.63f0, hedonism = -2.32f0, achievement = 0.47f0, power = 0.5f0, security = 1.58f0, conformity = -0.54f0, tradition = 1.37f0, benevolence = 0.02f0, universalism = 0.84f0)"
1,35,"(31, 50)",11.0,1,4,2,male,Int64[],false,0.0,Int64[],Int64[],Int64[],true,false,"(self_direction = -0.54f0, stimulation = -0.69f0, hedonism = -1.63f0, achievement = -0.54f0, power = -0.94f0, security = 0.3f0, conformity = 1.5f0, tradition = 0.84f0, benevolence = 1.17f0, universalism = 0.55f0)"
