time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,total_inheritance_received,last_partner_id,last_credit_partner
0,1,"(2, 21)",9.0,0,6,2,male,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,2,"(10, 47)",6.0,0,6,1,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,3,"(30, 6)",14.0,0,1,4,female,"Bool[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
0,4,"(9, 13)",16.0,0,6,2,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
0,5,"(3, 34)",22.0,0,6,1,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
0,6,"(26, 27)",11.0,0,3,2,female,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,7,"(9, 40)",8.0,0,1,1,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,8,"(33, 22)",15.0,0,4,3,male,"Bool[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
0,9,"(13, 19)",13.0,0,2,4,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,10,"(39, 45)",14.0,0,6,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,11,"(35, 1)",8.0,0,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,12,"(21, 9)",8.0,0,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
0,13,"(17, 26)",14.0,0,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
0,14,"(13, 40)",10.0,0,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,15,"(28, 20)",5.0,0,4,2,female,"Bool[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,16,"(38, 38)",11.0,0,6,3,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,17,"(13, 44)",22.0,0,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,18,"(50, 21)",11.0,0,5,4,female,"Bool[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
0,19,"(48, 27)",22.0,0,4,2,female,"Bool[0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,20,"(13, 9)",14.0,0,4,1,male,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,21,"(6, 20)",24.0,0,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,22,"(20, 18)",25.0,0,1,3,male,"Bool[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,23,"(31, 2)",23.0,0,2,1,male,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,0.0,Int64[],Int64[]
0,24,"(12, 50)",14.0,0,6,2,female,"Bool[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
0,25,"(10, 9)",18.0,0,2,3,female,"Bool[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,0.0,Int64[],Int64[]
0,26,"(44, 18)",19.0,0,2,3,female,"Bool[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
0,27,"(37, 1)",25.0,0,1,3,male,"Bool[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,0.0,Int64[],Int64[]
0,28,"(26, 19)",5.0,0,2,4,male,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",Int64[],false,0.0,Int64[],Int64[]
