time,nagents,#77,#78,#79,#80,#81,#82,#83,#84,#85
10,32,0,0,18,0.38488672496025433,"Dict(:p25 => 8.0, :p75 => 30.75, :p50 => 18.5, :p90 => 39.0, :p99 => 41.38, :p95 => 39.45)",26.16622743148556,10.0,0.0,0.0
11,30,0,0,20,0.37098099640472504,"Dict(:p25 => 10.25, :p75 => 34.25, :p50 => 21.0, :p90 => 41.1, :p99 => 43.71, :p95 => 42.550000000000004)",22.57283429146374,11.0,0.0,0.0
12,29,0,0,21,0.3679537476770596,"Dict(:p25 => 11.0, :p75 => 38.0, :p50 => 23.0, :p90 => 43.400000000000006, :p99 => 46.0, :p95 => 45.6)",13.482280839776315,12.0,0.0,0.0
13,27,0,0,23,0.3348922216846746,"Dict(:p25 => 11.5, :p75 => 40.5, :p50 => 25.0, :p90 => 45.400000000000006, :p99 => 48.0, :p95 => 47.400000000000006)",11.708849574693842,13.0,0.0,0.0
14,25,0,0,25,0.29393006993007,"Dict(:p25 => 18.0, :p75 => 43.0, :p50 => 28.0, :p90 => 48.2, :p99 => 50.76, :p95 => 49.8)",11.134419104858582,14.0,0.0,0.0
15,24,0,0,26,0.2801801801801802,"Dict(:p25 => 18.75, :p75 => 45.0, :p50 => 29.5, :p90 => 51.10000000000001, :p99 => 53.54, :p95 => 52.0)",13.065017077695058,15.0,0.0,0.0
16,24,0,0,26,0.29025607638888884,"Dict(:p25 => 19.5, :p75 => 46.25, :p50 => 31.0, :p90 => 53.10000000000001, :p99 => 56.53999999999999, :p95 => 54.85)",15.474984023004408,16.0,0.0,0.0
17,24,0,0,26,0.2994627054361567,"Dict(:p25 => 20.0, :p75 => 47.5, :p50 => 32.5, :p90 => 55.10000000000001, :p99 => 59.54, :p95 => 57.7)",9.953434739889852,17.0,0.0,0.0
18,25,1,0,26,0.31307975460122694,"Dict(:p25 => 20.0, :p75 => 48.0, :p50 => 32.0, :p90 => 56.00000000000001, :p99 => 60.760000000000005, :p95 => 59.6)",9.829926164210056,17.28,0.040000000000000036,0.0
19,25,1,0,26,0.317685950413223,"Dict(:p25 => 22.0, :p75 => 49.0, :p50 => 33.0, :p90 => 58.400000000000006, :p99 => 63.760000000000005, :p95 => 62.400000000000006)",9.249899585634385,18.28,0.037811816192560244,0.0
20,27,3,0,26,0.3590394047015053,"Dict(:p25 => 13.5, :p75 => 48.25, :p50 => 31.5, :p90 => 60.20000000000001, :p99 => 66.74000000000001, :p95 => 64.80000000000001)",8.77675781990205,17.85185185185185,0.10726909482096203,0.0
21,27,3,0,26,0.36253875020394855,"Dict(:p25 => 13.0, :p75 => 50.25, :p50 => 33.5, :p90 => 62.800000000000004, :p99 => 69.74000000000001, :p95 => 67.50000000000001)",8.383436329780482,18.85185185185185,0.10157898566542967,0.0
22,29,5,0,26,0.3669872380882728,"Dict(:p25 => 12.0, :p75 => 50.0, :p50 => 30.0, :p90 => 61.2, :p99 => 71.04000000000002, :p95 => 64.4)",12.255723311414542,18.482758620689655,0.1587750900669067,0.0
23,32,8,0,26,0.38573521916411835,"Dict(:p25 => 12.875, :p75 => 48.0, :p50 => 27.75, :p90 => 60.80000000000001, :p99 => 72.83000000000001, :p95 => 64.70000000000002)",6.610686790541557,17.65625,0.230254424778761,0.0
24,34,11,0,27,0.37372626215840676,"Dict(:p25 => 14.0, :p75 => 43.5, :p50 => 26.5, :p90 => 58.10000000000001, :p99 => 75.35999999999996, :p95 => 65.45000000000002)",5.4794053329099786,16.852941176470587,0.29314238784519064,0.0
25,36,14,0,28,0.34602947413061935,"Dict(:p25 => 15.375, :p75 => 39.25, :p50 => 21.75, :p90 => 55.5, :p99 => 75.89999999999999, :p95 => 64.5)",4.368497355124736,16.166666666666668,0.344310805651012,0.0
26,36,14,0,28,0.3404369080354417,"Dict(:p25 => 16.375, :p75 => 40.25, :p50 => 22.75, :p90 => 57.0, :p99 => 78.54999999999998, :p95 => 65.75)",4.244957745920675,17.166666666666668,0.32425386551600144,0.0
27,38,16,0,28,0.35689045936395747,"Dict(:p25 => 17.0, :p75 => 39.75, :p50 => 21.5, :p90 => 57.10000000000003, :p99 => 81.03999999999996, :p95 => 65.79999999999998)",4.134762419794388,17.210526315789473,0.34291002736198295,0.0
28,39,17,0,28,0.36472561706206585,"Dict(:p25 => 17.25, :p75 => 41.0, :p50 => 23.0, :p90 => 57.60000000000002, :p99 => 82.95999999999998, :p95 => 67.20000000000002)",4.322739341831467,17.743589743589745,0.34141099748036163,0.0
29,41,19,0,28,0.3611624624803704,"Dict(:p25 => 17.5, :p75 => 42.0, :p50 => 23.0, :p90 => 58.0, :p99 => 84.79999999999995, :p95 => 66.0)",3.156246590155241,17.829268292682926,0.35621100397050487,0.0
30,42,20,0,28,0.3576673785171032,"Dict(:p25 => 17.375, :p75 => 43.875, :p50 => 24.0, :p90 => 57.60000000000002, :p99 => 87.30999999999997, :p95 => 66.60000000000002)",3.687649329215223,18.38095238095238,0.3530717986676537,0.0
31,42,20,0,28,0.3558553657563559,"Dict(:p25 => 18.0, :p75 => 45.375, :p50 => 25.5, :p90 => 58.60000000000002, :p99 => 89.30999999999997, :p95 => 67.70000000000002)",3.5901042170756665,19.38095238095238,0.3348543348543349,0.0
32,44,22,0,28,0.35546060157459114,"Dict(:p25 => 15.375, :p75 => 41.5, :p50 => 25.25, :p90 => 56.7, :p99 => 91.13, :p95 => 67.65)",3.5214514190572053,19.454545454545453,0.3494052676295667,0.0
33,44,22,0,28,0.35159090909090907,"Dict(:p25 => 17.125, :p75 => 42.875, :p50 => 26.25, :p90 => 58.7, :p99 => 91.99000000000001, :p95 => 68.65)",3.8715130663352917,20.454545454545453,0.33232323232323235,0.0
34,44,22,0,28,0.34752151787397123,"Dict(:p25 => 18.0, :p75 => 44.625, :p50 => 27.25, :p90 => 60.0, :p99 => 93.99000000000001, :p95 => 69.50000000000001)",3.8557984307357085,21.454545454545453,0.31683359013867496,0.0
35,44,22,0,28,0.3448882767064585,"Dict(:p25 => 18.75, :p75 => 46.125, :p50 => 28.25, :p90 => 60.7, :p99 => 94.85, :p95 => 70.50000000000001)",3.9119552704280194,22.454545454545453,0.3027235921972764,0.0
36,44,22,0,28,0.3384184308841842,"Dict(:p25 => 20.5, :p75 => 47.125, :p50 => 29.5, :p90 => 61.7, :p99 => 95.71000000000001, :p95 => 71.35000000000002)",3.9686376830106047,23.454545454545453,0.2898167723749119,0.0
37,43,22,0,29,0.3183498534544973,"Dict(:p25 => 24.5, :p75 => 49.25, :p50 => 31.0, :p90 => 62.800000000000004, :p99 => 96.58, :p95 => 72.99999999999999)",4.3122388681548,24.162790697674417,0.2822033708619647,0.0
38,44,23,0,29,0.32487288372352907,"Dict(:p25 => 23.75, :p75 => 50.625, :p50 => 32.25, :p90 => 63.7, :p99 => 97.57, :p95 => 73.65)",3.6182127638566906,24.59090909090909,0.28755671315745257,0.0
39,46,25,0,29,0.330385581479659,"Dict(:p25 => 21.0, :p75 => 49.5, :p50 => 32.5, :p90 => 61.25, :p99 => 98.64999999999999, :p95 => 74.0)",4.406414569431265,24.47826086956522,0.30778438489458626,0.0
40,46,26,0,30,0.3222395453516733,"Dict(:p25 => 22.0, :p75 => 51.5, :p50 => 33.5, :p90 => 62.75, :p99 => 100.64999999999999, :p95 => 74.75)",3.8914417678902495,24.608695652173914,0.3150637578737132,0.0
