time,id,pos,sugar,age,vision,metabolism,sex,culture,children,loans_given,loans_owed,has_reproduced,has_spread_culture,has_accepted_culture,total_inheritance_received,last_partner_id,last_credit_partner,chose_not_to_borrow,chose_not_to_lend,chose_not_to_spread_culture,schwartz_values
0,1,"(2, 21)",9.0,0,6,2,male,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.22f0, stimulation = -0.72f0, hedonism = -0.9f0, achievement = -1.77f0, power = -2.34f0, security = 0.49f0, conformity = 0.6f0, tradition = 1.25f0, benevolence = 1.17f0, universalism = 2.02f0)"
0,2,"(10, 47)",6.0,0,6,1,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.4f0, stimulation = -2.44f0, hedonism = -2.09f0, achievement = 0.54f0, power = -0.62f0, security = 2.14f0, conformity = 1.07f0, tradition = 1.73f0, benevolence = -0.19f0, universalism = 0.27f0)"
0,3,"(30, 6)",14.0,0,1,4,female,"Bool[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.01f0, stimulation = -0.88f0, hedonism = -0.35f0, achievement = 0.26f0, power = -1.16f0, security = 1.07f0, conformity = -2.09f0, tradition = 1.15f0, benevolence = 0.98f0, universalism = 1.03f0)"
0,4,"(9, 13)",16.0,0,6,2,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.6f0, stimulation = -1.88f0, hedonism = -2.26f0, achievement = 0.59f0, power = -0.06f0, security = 1.19f0, conformity = -0.69f0, tradition = 0.09f0, benevolence = 1.08f0, universalism = 1.35f0)"
0,5,"(3, 34)",22.0,0,6,1,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.8f0, stimulation = -0.14f0, hedonism = -0.1f0, achievement = -0.0f0, power = -0.01f0, security = 0.2f0, conformity = -0.98f0, tradition = -1.98f0, benevolence = 0.93f0, universalism = 1.3f0)"
0,6,"(26, 27)",11.0,0,3,2,female,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 1.67f0, stimulation = -1.04f0, hedonism = 0.93f0, achievement = -1.54f0, power = -1.69f0, security = 0.42f0, conformity = -0.64f0, tradition = 0.28f0, benevolence = 0.94f0, universalism = 0.66f0)"
0,7,"(9, 40)",8.0,0,1,1,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.77f0, stimulation = 1.45f0, hedonism = 0.95f0, achievement = 0.02f0, power = 0.37f0, security = 0.17f0, conformity = -1.13f0, tradition = -0.93f0, benevolence = -0.04f0, universalism = -0.09f0)"
0,8,"(33, 22)",15.0,0,4,3,male,"Bool[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.88f0, stimulation = -0.7f0, hedonism = -0.88f0, achievement = -0.01f0, power = -0.94f0, security = 2.06f0, conformity = 0.25f0, tradition = -1.13f0, benevolence = 0.08f0, universalism = 0.38f0)"
0,9,"(13, 19)",13.0,0,2,4,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.18f0, stimulation = -2.57f0, hedonism = -0.21f0, achievement = 0.2f0, power = -0.22f0, security = 0.68f0, conformity = 0.21f0, tradition = 1.57f0, benevolence = 0.69f0, universalism = -0.17f0)"
0,10,"(39, 45)",14.0,0,6,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = -0.13f0, stimulation = -0.11f0, hedonism = -1.5f0, achievement = 1.1f0, power = -2.01f0, security = 0.81f0, conformity = 0.19f0, tradition = 0.89f0, benevolence = 0.46f0, universalism = 0.29f0)"
0,11,"(35, 1)",8.0,0,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],"Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",false,false,false,0.0,Int64[],Int64[],false,false,false,"(self_direction = 0.24f0, stimulation = -0.24f0, hedonism = 0.57f0, achievement = -2.2f0, power = -0.4f0, security = 0.01f0, conformity = 0.16f0, tradition = 0.75f0, benevolence = 0.67f0, universalism = 0.44f0)"
