id,pos_1,pos_2,vision,metabolism,sugar,age,max_age,sex,has_reproduced,has_spread_culture,has_accepted_culture,initial_sugar,children,total_inheritance_received,culture,loans_given,loans_owed,diseases,immunity,last_partner_id,last_credit_partner,last_combat_partner,chose_not_to_attack,chose_not_to_borrow,chose_not_to_lend,chose_not_to_reproduce,chose_not_to_spread_culture,traits
5,3,34,6,1,22.0,0,89,female,false,false,false,22.0,Int64[],0.0,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.75, conscientiousness = 4.4, extraversion = 4.02, agreeableness = 3.6, neuroticism = 1.4)"
35,31,50,4,2,13.0,0,76,male,false,false,false,13.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 4.23, conscientiousness = 3.37, extraversion = 2.85, agreeableness = 2.95, neuroticism = 2.59)"
30,17,36,2,3,19.0,0,91,female,false,false,false,19.0,Int64[],0.0,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.94, conscientiousness = 3.33, extraversion = 1.0, agreeableness = 2.63, neuroticism = 2.97)"
32,25,41,2,4,16.0,0,74,female,false,false,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.78, conscientiousness = 3.31, extraversion = 3.05, agreeableness = 3.16, neuroticism = 1.38)"
6,26,27,3,2,11.0,0,92,female,false,false,false,11.0,Int64[],0.0,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 5.0, conscientiousness = 4.2, extraversion = 2.89, agreeableness = 3.7, neuroticism = 1.56)"
45,44,32,6,3,14.0,0,92,male,false,false,false,14.0,Int64[],0.0,"Bool[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.91, conscientiousness = 3.0, extraversion = 1.67, agreeableness = 3.71, neuroticism = 3.81)"
4,9,13,6,2,16.0,0,86,male,false,false,false,16.0,Int64[],0.0,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 4.13, conscientiousness = 2.68, extraversion = 5.0, agreeableness = 5.0, neuroticism = 2.15)"
13,17,26,6,4,14.0,0,65,male,false,false,false,14.0,Int64[],0.0,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.71, conscientiousness = 2.85, extraversion = 1.91, agreeableness = 3.27, neuroticism = 3.22)"
12,21,9,6,2,8.0,0,88,male,false,false,false,8.0,Int64[],0.0,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 3.33, conscientiousness = 3.67, extraversion = 3.19, agreeableness = 3.59, neuroticism = 1.98)"
28,26,19,2,4,5.0,0,91,male,false,false,false,5.0,Int64[],0.0,"Bool[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]","Dict{Int64, Vector{Sugarscape.Loan}}()","Dict{Int64, Vector{Sugarscape.Loan}}()",BitVector[],"Bool[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Int64[],Int64[],Int64[],false,false,false,false,false,"(openness = 5.0, conscientiousness = 5.0, extraversion = 4.48, agreeableness = 3.79, neuroticism = 3.43)"
